gender,credit_score,approved,pseudo_id,age_bin,income_band
F,681.0,0,9cb0201cd1eaffb6,30s,50000
M,677.0,0,6f5ce6840f43b211,20s,30000
F,667.0,0,3e168c7cf589a00d,40s,50000
F,613.0,0,c435bdf468404ad2,40s,30000
M,764.0,0,d2514ce7ff564627,30s,50000
F,655.0,0,2662eda45a3792b0,50s,10000
F,780.0,0,e4437e12be4ff7bd,40s,30000
F,681.0,1,8d2af56be171037d,20s,80000
M,725.0,0,b14cb7f6823ec036,60s,60000
M,719.0,0,3ca5f31a3fa81eb4,20s,70000
M,622.0,0,60bdfdbf6d45944d,40s,70000
F,706.0,0,b00527ced39e0423,30s,60000
F,815.0,1,4e9eb893bd55751e,40s,40000
F,698.0,0,2d7efcebe2d2a6dd,50s,30000
M,743.0,0,5d0a702fc7ab7acd,50s,70000
M,729.0,0,9cba07c97c60edcd,40s,50000
F,701.0,0,f53b40233d22ba01,50s,90000
M,693.0,0,3a92179330101fc5,50s,40000
F,718.0,0,b44e89e42d60da16,50s,90000
F,733.0,0,cc3de4666ec4e21e,30s,50000
F,585.0,0,12feaaf1b24fbf04,20s,70000
M,697.0,0,fbc194018205a6cc,30s,80000
F,667.0,0,c710fb48d7a15f47,40s,30000
F,653.0,0,da3ee34ddf043738,40s,40000
F,771.0,0,8ac5c9107841fa01,20s,30000
M,629.0,0,54c45ab38bdc2d5a,20s,30000
M,582.0,0,6e25d9a70c9ee8cf,60s,60000
M,736.0,0,c2a6990890616cef,50s,50000
M,581.0,0,5b006afb107eb625,50s,50000
F,545.0,0,a099d47b58cd02c2,20s,60000
F,744.0,0,f3526e30bc97e006,20s,20000
F,691.0,0,288115ad46d848b3,30s,70000
M,713.0,0,cc1fbc65fdd2c304,50s,40000
M,649.0,0,a0444f2373283aeb,40s,60000
M,583.0,0,c78410ee14bc0888,50s,60000
M,597.0,0,2d8183fe920dbfd2,40s,70000
M,661.0,0,b48543cea576eecf,40s,50000
M,591.0,0,8dbf4581ab815117,40s,10000
M,701.0,0,c3bfce950c882a0c,60s,50000
F,648.0,0,d351679283215c75,30s,50000
M,693.0,0,b4921e0d446d6f81,40s,30000
F,691.0,0,160996cb2f74b24a,60s,50000
F,707.0,0,f89b0630c9befeee,30s,40000
M,715.0,0,6fe35b52eade5fac,50s,30000
F,656.0,0,4e13693217db0d34,40s,60000
F,693.0,0,bc20f768b4e1655e,50s,40000
M,697.0,1,92a82ac4dbd525f3,40s,40000
M,510.0,0,003458c1a337b91d,40s,40000
F,725.0,0,d4a0a986db5a7715,30s,70000
M,690.0,0,0f33e9d8dbfe54d5,40s,50000
M,719.0,0,b70c1143939ac0d3,30s,50000
M,590.0,0,01274f50baa0e5ae,40s,40000
F,658.0,0,fcf4da1013c0a2d3,50s,60000
F,604.0,0,fa3961d7e4cf36b0,30s,70000
F,732.0,0,40b4ffe7b07a8606,30s,60000
F,582.0,0,5ceae53066afe6a6,30s,60000
M,615.0,0,1f2ced1e4b87da33,50s,60000
F,717.0,0,944242fa629e83a4,40s,30000
M,636.0,0,42c680bbfcbe27b6,40s,30000
M,615.0,0,c1ffa7ca7876fa16,20s,50000
F,743.0,0,b16213d5a79ea5e3,20s,40000
M,746.0,0,a2fe4715844bf3fb,20s,30000
F,731.0,0,7cfd8ff4965f1e95,50s,20000
F,739.0,0,b30b92f5a4a14474,50s,30000
F,664.0,0,66dba7e3d46fb009,20s,50000
F,666.0,0,a79efa9d35329af1,20s,50000
F,635.0,0,d06e055e25bd16c1,50s,40000
M,692.0,0,f2f3955b81c956a6,40s,50000
M,643.0,0,5052993d10ecd26b,30s,40000
M,650.0,0,e23a68ba5b0d7072,40s,70000
M,722.0,0,98935a237a69424b,30s,50000
M,763.0,0,ce366281a01500e0,20s,60000
F,708.0,0,152337ed0606b446,30s,50000
M,806.0,0,b03cb3c9f8127940,50s,20000
M,631.0,0,97d5ef7bc87be99a,50s,50000
M,551.0,0,80be802d1df2a87c,20s,30000
M,730.0,0,4a51cd539eb22812,40s,50000
F,626.0,0,a3fe85a67b3ab376,50s,40000
F,661.0,0,16529886640e0ecb,60s,60000
F,556.0,0,02a3f70dc479671c,50s,30000
F,617.0,0,16acd4a0ee4cc697,20s,50000
M,575.0,0,62c1ae344b20b54d,30s,60000
F,650.0,0,f2ceb2d3a88bee6b,20s,70000
M,652.0,0,17fa7687f24617ea,20s,40000
M,686.0,1,4125c2d13d51cd3d,20s,50000
M,767.0,0,c7fa598ede34dcba,30s,50000
F,727.0,0,f27122d71a37a381,40s,80000
M,566.0,0,46f21a4bc2be1f58,30s,20000
M,723.0,1,0c9181c6a533b9f1,30s,30000
M,673.0,0,63819a68266cc152,20s,50000
F,678.0,0,1cc06328b59cba33,60s,20000
M,694.0,0,6c3ca6b7dba9ac5d,40s,40000
M,632.0,0,bd442385b95d24c6,30s,10000
M,667.0,0,db60fb0e524fc657,50s,50000
F,763.0,1,83c400dc04ee2f88,50s,60000
